Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,geometry
Nobutoshi Shimamura,1.4,Japan,retail,2141,95,"Saitama, Japan",Japan,Married,3,,TRUE,POINT (139.4160114 35.9754168)
Michael Spencer,1.4,United Kingdom,stock exchange,2141,65,"London, Suffolk, United Kingdom",United Kingdom,Married,3,"Bachelor of Arts/Science, Oxford University",TRUE,POINT (0.9960257 52.1627718)
Edward Stack,1.4,United States,Dick's Sporting Goods,2141,66,"Sewickley, Pennsylvania",United States,Married,,"Bachelor of Arts/Science, St. John Fisher College",TRUE,POINT (-80.1845031 40.5364566)
Thomas Steyer,1.4,United States,hedge funds,2141,63,"San Francisco, California",United States,Separated,4,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University",TRUE,POINT (-122.419906 37.7790262)
Tan Ruiqing,1.4,China,chemicals,2141,54,"Zhengzhou, China",China,Married,,,TRUE,POINT (113.6191483 34.7487244)
Itaru Tanimura,1.4,Japan,heathcare,2141,56,"Tokyo, Japan",Japan,,,,TRUE,POINT (139.7594549 35.6828387)
Sukanto Tanoto,1.4,Indonesia,diversified,2141,71,"Singapore, Singapore",Indonesia,Married,4,,TRUE,POINT (103.8194992 1.357107)
Alexander Tedja,1.4,Indonesia,real estate,2141,75,"Jakarta, Indonesia",Indonesia,Married,4,,TRUE,POINT (106.827183 -6.1753942)
Jim Thompson,1.4,United States,logistics,2141,81,"Hong Kong, Hong Kong",United States,Married,2,"Bachelor of Arts/Science, San Jose State University",TRUE,POINT (114.1628131 22.2793278)
Jonathan Tisch,1.4,United States,"insurance, NFL team",2141,67,"New York, New York",United States,Married,2,,FALSE,POINT (-74.00601519999999 40.7127281)
Wilma Tisch,1.4,United States,diversified,2141,93,"New York, New York",United States,Widowed,4,"Bachelor of Arts/Science, Skidmore College",FALSE,POINT (-74.00601519999999 40.7127281)
